        Frequency / GHz                SZmax(1),Zmax(1)/abs,linear
----------------------------------------------------------------------
                       8                      0.23152388
                    8.02                      0.23065049
                    8.04                      0.22977876
                    8.06                      0.22890869
                    8.08                      0.22804028
                     8.1                      0.22717353
                    8.12                      0.22630845
                    8.14                      0.22544503
                    8.16                      0.22458328
                    8.18                       0.2237232
                     8.2                      0.22286479
                    8.22                      0.22200805
                    8.24                      0.22115298
                    8.26                      0.22029959
                    8.28                      0.21944787
                     8.3                      0.21859783
                    8.32                      0.21774946
                    8.34                      0.21690277
                    8.36                      0.21605776
                    8.38                      0.21521442
                     8.4                      0.21437277
                    8.42                      0.21353279
                    8.44                       0.2126945
                    8.46                      0.21185788
                    8.48                      0.21102295
                     8.5                      0.21018969
                    8.52                      0.20935812
                    8.54                      0.20852823
                    8.56                      0.20770002
                    8.58                      0.20687349
                     8.6                      0.20604865
                    8.62                      0.20522548
                    8.64                        0.204404
                    8.66                       0.2035842
                    8.68                      0.20276608
                     8.7                      0.20194964
                    8.72                      0.20113488
                    8.74                      0.20032181
                    8.76                      0.19951041
                    8.78                      0.19870069
                     8.8                      0.19789266
                    8.82                       0.1970863
                    8.84                      0.19628162
                    8.86                      0.19547862
                    8.88                      0.19467729
                     8.9                      0.19387765
                    8.92                      0.19307967
                    8.94                      0.19228338
                    8.96                      0.19148876
                    8.98                      0.19069581
                       9                      0.18990454
                    9.02                      0.18911495
                    9.04                      0.18832702
                    9.06                      0.18754076
                    9.08                      0.18675618
                     9.1                      0.18597327
                    9.12                      0.18519202
                    9.14                      0.18441245
                    9.16                      0.18363454
                    9.18                      0.18285829
                     9.2                      0.18208372
                    9.22                      0.18131081
                    9.24                      0.18053956
                    9.26                      0.17976997
                    9.28                      0.17900205
                     9.3                      0.17823579
                    9.32                      0.17747119
                    9.34                      0.17670824
                    9.36                      0.17594696
                    9.38                      0.17518733
                     9.4                      0.17442936
                    9.42                      0.17367304
                    9.44                      0.17291838
                    9.46                      0.17216537
                    9.48                      0.17141401
                     9.5                      0.17066431
                    9.52                      0.16991625
                    9.54                      0.16916984
                    9.56                      0.16842508
                    9.58                      0.16768197
                     9.6                      0.16694051
                    9.62                      0.16620068
                    9.64                      0.16546251
                    9.66                      0.16472597
                    9.68                      0.16399108
                     9.7                      0.16325783
                    9.72                      0.16252622
                    9.74                      0.16179624
                    9.76                      0.16106791
                    9.78                      0.16034121
                     9.8                      0.15961615
                    9.82                      0.15889272
                    9.84                      0.15817093
                    9.86                      0.15745076
                    9.88                      0.15673223
                     9.9                      0.15601534
                    9.92                      0.15530007
                    9.94                      0.15458643
                    9.96                      0.15387442
                    9.98                      0.15316403
                      10                      0.15245527
                   10.02                      0.15174814
                   10.04                      0.15104263
                   10.06                      0.15033875
                   10.08                      0.14963649
                    10.1                      0.14893584
                   10.12                      0.14823682
                   10.14                      0.14753943
                   10.16                      0.14684364
                   10.18                      0.14614948
                    10.2                      0.14545694
                   10.22                      0.14476601
                   10.24                       0.1440767
                   10.26                        0.143389
                   10.28                      0.14270292
                    10.3                      0.14201845
                   10.32                       0.1413356
                   10.34                      0.14065435
                   10.36                      0.13997472
                   10.38                       0.1392967
                    10.4                      0.13862029
                   10.42                      0.13794549
                   10.44                       0.1372723
                   10.46                      0.13660072
                   10.48                      0.13593074
                    10.5                      0.13526238
                   10.52                      0.13459562
                   10.54                      0.13393046
                   10.56                      0.13326691
                   10.58                      0.13260497
                    10.6                      0.13194463
                   10.62                      0.13128589
                   10.64                      0.13062876
                   10.66                      0.12997323
                   10.68                      0.12931931
                    10.7                      0.12866698
                   10.72                      0.12801626
                   10.74                      0.12736714
                   10.76                      0.12671962
                   10.78                      0.12607371
                    10.8                      0.12542939
                   10.82                      0.12478667
                   10.84                      0.12414556
                   10.86                      0.12350604
                   10.88                      0.12286812
                    10.9                      0.12223181
                   10.92                      0.12159709
                   10.94                      0.12096397
                   10.96                      0.12033245
                   10.98                      0.11970253
                      11                      0.11907421
                   11.02                      0.11844749
                   11.04                      0.11782237
                   11.06                      0.11719884
                   11.08                      0.11657691
                    11.1                      0.11595659
                   11.12                      0.11533786
                   11.14                      0.11472073
                   11.16                       0.1141052
                   11.18                      0.11349126
                    11.2                      0.11287893
                   11.22                       0.1122682
                   11.24                      0.11165906
                   11.26                      0.11105153
                   11.28                       0.1104456
                    11.3                      0.10984126
                   11.32                      0.10923853
                   11.34                       0.1086374
                   11.36                      0.10803787
                   11.38                      0.10743994
                    11.4                      0.10684361
                   11.42                      0.10624889
                   11.44                      0.10565577
                   11.46                      0.10506425
                   11.48                      0.10447433
                    11.5                      0.10388603
                   11.52                      0.10329932
                   11.54                      0.10271422
                   11.56                      0.10213073
                   11.58                      0.10154884
                    11.6                      0.10096857
                   11.62                       0.1003899
                   11.64                     0.099812838
                   11.66                     0.099237388
                   11.68                     0.098663548
                    11.7                     0.098091321
                   11.72                     0.097520706
                   11.74                     0.096951704
                   11.76                     0.096384317
                   11.78                     0.095818546
                    11.8                     0.095254391
                   11.82                     0.094691853
                   11.84                     0.094130934
                   11.86                     0.093571635
                   11.88                     0.093013957
                    11.9                     0.092457901
                   11.92                     0.091903469
                   11.94                     0.091350661
                   11.96                     0.090799479
                   11.98                     0.090249926
                      12                     0.089702001

