        Frequency / GHz                SZmax(1),Zmax(1)/arg,degrees
----------------------------------------------------------------------
                       8                       22.032224
                    8.02                       21.745052
                    8.04                       21.458224
                    8.06                       21.171742
                    8.08                       20.885607
                     8.1                       20.599819
                    8.12                        20.31438
                    8.14                       20.029289
                    8.16                       19.744549
                    8.18                        19.46016
                     8.2                       19.176122
                    8.22                       18.892437
                    8.24                       18.609106
                    8.26                        18.32613
                    8.28                       18.043509
                     8.3                       17.761245
                    8.32                       17.479338
                    8.34                        17.19779
                    8.36                       16.916602
                    8.38                       16.635775
                     8.4                        16.35531
                    8.42                       16.075207
                    8.44                       15.795469
                    8.46                       15.516097
                    8.48                       15.237091
                     8.5                       14.958453
                    8.52                       14.680183
                    8.54                       14.402285
                    8.56                       14.124757
                    8.58                       13.847603
                     8.6                       13.570823
                    8.62                       13.294418
                    8.64                        13.01839
                    8.66                       12.742741
                    8.68                       12.467471
                     8.7                       12.192583
                    8.72                       11.918077
                    8.74                       11.643955
                    8.76                       11.370219
                    8.78                        11.09687
                     8.8                        10.82391
                    8.82                        10.55134
                    8.84                       10.279162
                    8.86                       10.007378
                    8.88                       9.7359883
                     8.9                       9.4649959
                    8.92                       9.1944022
                    8.94                       8.9242089
                    8.96                       8.6544176
                    8.98                       8.3850303
                       9                       8.1160487
                    9.02                       7.8474746
                    9.04                         7.57931
                    9.06                       7.3115568
                    9.08                       7.0442168
                     9.1                        6.777292
                    9.12                       6.5107844
                    9.14                        6.244696
                    9.16                       5.9790289
                    9.18                       5.7137851
                     9.2                       5.4489667
                    9.22                       5.1845759
                    9.24                       4.9206147
                    9.26                       4.6570854
                    9.28                       4.3939902
                     9.3                       4.1313314
                    9.32                       3.8691111
                    9.34                       3.6073317
                    9.36                       3.3459956
                    9.38                       3.0851051
                     9.4                       2.8246626
                    9.42                       2.5646705
                    9.44                       2.3051314
                    9.46                       2.0460476
                    9.48                       1.7874217
                     9.5                       1.5292563
                    9.52                        1.271554
                    9.54                       1.0143174
                    9.56                       0.7575491
                    9.58                      0.50125187
                     9.6                       0.2454284
                    9.62                   -0.0099185372
                    9.64                     -0.26478615
                    9.66                     -0.51917159
                    9.68                     -0.77307202
                     9.7                      -1.0264845
                    9.72                      -1.2794061
                    9.74                      -1.5318339
                    9.76                      -1.7837648
                    9.78                      -2.0351959
                     9.8                      -2.2861239
                    9.82                      -2.5365458
                    9.84                      -2.7864584
                    9.86                      -3.0358585
                    9.88                      -3.2847429
                     9.9                      -3.5331083
                    9.92                      -3.7809513
                    9.94                      -4.0282686
                    9.96                      -4.2750569
                    9.98                      -4.5213125
                      10                      -4.7670322
                   10.02                      -5.0122123
                   10.04                      -5.2568492
                   10.06                      -5.5009394
                   10.08                      -5.7444792
                    10.1                      -5.9874649
                   10.12                      -6.2298927
                   10.14                      -6.4717588
                   10.16                      -6.7130595
                   10.18                      -6.9537908
                    10.2                      -7.1939487
                   10.22                      -7.4335294
                   10.24                      -7.6725288
                   10.26                      -7.9109428
                   10.28                      -8.1487672
                    10.3                       -8.385998
                   10.32                      -8.6226309
                   10.34                      -8.8586615
                   10.36                      -9.0940857
                   10.38                       -9.328899
                    10.4                      -9.5630969
                   10.42                      -9.7966751
                   10.44                      -10.029629
                   10.46                      -10.261954
                   10.48                      -10.493645
                    10.5                      -10.724698
                   10.52                      -10.955108
                   10.54                       -11.18487
                   10.56                      -11.413979
                   10.58                      -11.642431
                    10.6                       -11.87022
                   10.62                      -12.097341
                   10.64                      -12.323789
                   10.66                      -12.549559
                   10.68                      -12.774646
                    10.7                      -12.999044
                   10.72                      -13.222748
                   10.74                      -13.445753
                   10.76                      -13.668053
                   10.78                      -13.889642
                    10.8                      -14.110515
                   10.82                      -14.330666
                   10.84                      -14.550089
                   10.86                      -14.768779
                   10.88                      -14.986729
                    10.9                      -15.203934
                   10.92                      -15.420387
                   10.94                      -15.636083
                   10.96                      -15.851014
                   10.98                      -16.065175
                      11                      -16.278559
                   11.02                       -16.49116
                   11.04                      -16.702971
                   11.06                      -16.913986
                   11.08                      -17.124197
                    11.1                      -17.333599
                   11.12                      -17.542183
                   11.14                      -17.749944
                   11.16                      -17.956873
                   11.18                      -18.162964
                    11.2                       -18.36821
                   11.22                      -18.572603
                   11.24                      -18.776135
                   11.26                      -18.978799
                   11.28                      -19.180588
                    11.3                      -19.381493
                   11.32                      -19.581507
                   11.34                      -19.780622
                   11.36                      -19.978829
                   11.38                      -20.176121
                    11.4                      -20.372488
                   11.42                      -20.567923
                   11.44                      -20.762418
                   11.46                      -20.955962
                   11.48                      -21.148548
                    11.5                      -21.340167
                   11.52                       -21.53081
                   11.54                      -21.720467
                   11.56                      -21.909129
                   11.58                      -22.096787
                    11.6                      -22.283431
                   11.62                      -22.469051
                   11.64                      -22.653638
                   11.66                      -22.837182
                   11.68                      -23.019673
                    11.7                        -23.2011
                   11.72                      -23.381452
                   11.74                       -23.56072
                   11.76                      -23.738893
                   11.78                      -23.915959
                    11.8                      -24.091909
                   11.82                      -24.266729
                   11.84                       -24.44041
                   11.86                       -24.61294
                   11.88                      -24.784306
                    11.9                      -24.954498
                   11.92                      -25.123502
                   11.94                      -25.291307
                   11.96                      -25.457901
                   11.98                       -25.62327
                      12                      -25.787403

